description,variables,value,unit,unit(3d histogram),,,,15
Counter for Range within (20 30]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[38],0,(20 30],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[26],0,(20 30],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[35],0,(20 30],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[36],0,(20 30],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[30],0,(20 30],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[29],0,(20 30],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[28],0,(20 30],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[27],0,(20 30],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[34],0,(20 30],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[37],0,(20 30],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[33],0,(20 30],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[32],0,(20 30],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (20 30]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[31],0,(20 30],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate  5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[51],0,(30 40],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[39],0,(30 40],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[48],0,(30 40],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[49],0,(30 40],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[43],0,(30 40],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[42],0,(30 40],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[41],0,(30 40],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[40],0,(30 40],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[47],0,(30 40],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[50],0,(30 40],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[46],0,(30 40],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[45],0,(30 40],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (30 40]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[44],0,(30 40],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[64],0,(40 50],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[52],0,(40 50],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (40 50]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[61],0,(40 50],0,0136374_2020-8-20-16-34-15,,,
